Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-10-10 11:20:38,True,Hangzhou Running,15.02,955,01:06:46,153,173,3.9,174,183,4:27,3:11,29,15,1.31,7.3,9.6,238,4:21,360,0.0,358,494,"11,640",No,00:00:02.3,16,01:06:36,01:25:26,18,42
Running,2024-10-07 19:41:58,True,Hangzhou Running,10.0,635,00:47:21,143,156,3.2,169,176,4:44,3:24,40,28,1.29,7.8,10.0,251,4:35,343,0.0,340,454,"7,980",No,00:00:01.8,11,00:47:19,01:09:50,5,29
Running,2024-09-08 18:49:00,True,Hangzhou Running,10.01,626,00:46:16,154,169,3.8,171,186,4:37,3:22,8,30,1.26,7.6,9.6,247,4:37,336,0.0,335,454,"7,936",No,00:00:01.8,11,00:46:10,00:59:25,17,39
Running,2024-09-05 21:39:42,True,Hangzhou Running,10.01,684,00:47:51,165,181,4.3,172,181,4:47,2:59,33,34,1.29,7.6,9.7,246,4:30,352,0.0,348,516,"8,204",No,00:00:01.7,11,00:47:48,00:47:51,18,34
Running,2024-09-03 19:44:26,True,Hangzhou Running,10.01,635,00:46:11,158,172,3.9,171,184,4:37,4:02,9,13,1.27,7.6,9.6,247,4:36,338,0.0,337,421,"7,918",No,00:00:01.5,11,00:45:59,01:01:10,15,39
Running,2024-09-02 18:56:26,True,Hangzhou Running,10.01,637,00:46:29,158,170,4.0,168,200,4:39,3:10,8,15,1.26,7.7,9.7,249,4:39,340,0.0,336,504,"7,912",No,00:00:01.3,11,00:46:21,00:59:01,26,48
Running,2024-08-31 18:03:05,True,Hangzhou Running,10.0,653,00:46:32,163,183,3.8,170,184,4:39,3:27,31,21,1.28,7.5,9.6,244,4:35,344,0.0,334,550,"7,930",No,00:04:19.7,10,00:45:41,01:01:31,12,30
Running,2024-08-29 19:49:58,True,Running,10.0,700,00:48:39,166,185,4.4,170,180,4:52,3:14,35,38,1.27,7.7,9.8,249,4:34,343,0.0,337,490,"8,284",No,00:00:00.7,11,00:48:32,00:48:54,9,28
Running,2024-08-25 08:54:28,True,Running,5.01,345,00:24:24,164,180,3.3,170,176,4:52,4:19,21,22,1.21,8.0,9.6,254,4:48,319,0.0,315,380,"4,148",No,00:00:01.4,6,00:24:23,00:24:24,8,27
Running,2024-08-24 17:54:13,True,Hangzhou Running,10.01,630,00:44:41,159,179,3.9,172,187,4:28,3:44,8,16,1.3,7.5,9.7,242,4:27,351,0.0,349,451,"7,692",No,00:00:01.6,11,00:44:35,00:56:28,13,35
Running,2024-08-23 18:15:14,True,Running,10.01,621,00:45:30,152,170,3.7,172,187,4:33,1:44,33,34,1.36,7.3,9.8,240,4:14,378,0.0,368,955,"7,842",No,00:00:01.9,11,00:45:28,00:52:27,17,35
Running,2024-08-21 19:02:11,True,Running,10.01,661,00:48:18,157,174,3.8,171,186,4:50,2:58,26,20,1.25,7.8,9.7,250,4:40,341,0.0,335,526,"8,242",No,00:00:01.4,11,00:48:16,01:01:10,18,38
Running,2024-08-18 19:53:56,True,Hangzhou Running,10.01,657,00:46:37,163,178,3.8,171,177,4:39,3:32,15,19,1.25,7.8,9.7,250,4:41,333,0.0,331,469,"7,962",No,00:00:02.3,11,00:46:28,01:06:51,16,33
Running,2024-08-11 09:07:49,True,Hangzhou Running,8.0,561,00:38:35,169,184,3.8,172,177,4:50,3:09,17,15,1.28,7.7,9.7,246,4:30,349,0.0,344,511,"6,618",No,00:04:30.3,8,00:38:33,00:56:02,14,29
Running,2024-08-05 16:28:24,True,Running,15.27,"1,000",01:04:57,175,184,5.0,175,186,4:15,3:10,44,43,1.34,7.2,9.6,234,4:14,371,0.0,368,526,"11,380",No,00:01:15.6,16,01:04:51,01:23:20,12,32
Running,2024-08-04 16:58:00,True,Hangzhou Running,15.3,992,01:06:11,170,188,4.8,173,184,4:19,3:16,27,26,1.36,7.2,9.8,236,4:14,369,0.0,368,493,"11,464",No,00:01:20.1,16,01:05:50,01:21:39,19,43
Running,2024-08-02 19:41:00,True,Hangzhou Running,15.0,"1,032",01:14:38,164,183,4.6,162,204,4:59,3:20,33,45,1.25,7.8,9.6,251,4:57,328,0.0,309,482,"12,190",No,00:04:14.1,15,01:13:41,01:20:35,6,30
Running,2024-07-25 19:48:51,True,Hangzhou Running,10.01,672,00:48:09,157,179,3.6,169,175,4:49,4:06,38,36,1.23,7.9,9.8,255,4:48,331,0.0,328,448,"8,124",No,00:00:02.6,11,00:48:03,00:52:06,5,15
Running,2024-07-22 19:32:24,True,Hangzhou Running,10.01,685,00:46:50,163,180,4.0,169,178,4:41,4:07,36,38,1.27,7.8,10.0,253,4:39,343,0.0,339,491,"7,886",No,00:00:02.0,11,00:46:44,00:47:39,4,14
Running,2024-07-21 20:43:18,True,Hangzhou Running,6.07,394,00:27:05,158,178,3.3,171,184,4:28,4:06,26,18,1.32,7.6,9.9,246,4:24,359,0.0,356,446,"4,614",No,00:00:24.8,7,00:27:04,00:27:05,8,18
