Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,7/2/2024 11:44,TRUE,Hangzhou Running,10.01,686,0:45:49,168,180,3.7,169,176,4:35,3:59,25,22,1.29,7.7,9.9,248,4:33,347,0,345,462,"7,774",No,00:01.6,11,0:45:43,1:01:09,6,16
Running,6/30/2024 17:23,TRUE,Hangzhou Running,10.01,668,0:46:29,158,172,3.5,166,187,4:39,3:53,21,25,1.29,7.8,10,252,4:40,337,0,337,449,"7,784",No,00:01.2,11,0:46:17,1:17:13,3,8
Running,6/28/2024 10:13,TRUE,Hangzhou Running,10.01,677,0:45:28,162,176,3.8,170,176,4:33,4:04,29,31,1.29,7.7,9.9,248,4:31,351,0,348,451,"7,728",No,00:01.6,11,0:45:26,0:45:28,1,10
Running,6/27/2024 11:14,TRUE,Hangzhou Running,10.03,675,0:44:52,162,176,3.8,170,176,4:28,4:02,32,28,1.32,7.6,10.1,248,4:26,358,0,355,449,"7,602",No,00:08.9,11,0:44:50,0:44:52,6,16
Running,6/25/2024 14:17,TRUE,Hangzhou Running,10.01,650,0:44:18,155,166,3.6,171,180,4:25,3:16,40,42,1.32,7.6,9.9,245,4:25,359,0,355,488,"7,572",No,00:03.9,11,0:44:14,0:46:15,4,14
Running,6/24/2024 9:50,TRUE,Hangzhou Running,10.01,670,0:44:31,161,174,3.8,170,177,4:27,3:59,37,34,1.32,7.6,10,247,4:27,359,0,355,483,"7,574",No,00:01.8,11,0:44:25,0:44:31,5,16
Running,6/22/2024 12:22,TRUE,Hangzhou Running,10.01,699,0:45:12,170,185,3.9,171,179,4:31,3:50,39,37,1.28,7.6,9.7,246,4:32,350,0,346,493,"7,748",No,00:01.7,11,0:45:04,1:03:25,4,13
Running,6/21/2024 20:11,TRUE,Hangzhou Running,10,692,0:45:34,163,179,4,170,176,4:33,4:03,38,39,1.29,7.7,9.9,249,4:33,350,0,347,484,"7,742",No,04:21.9,10,0:45:31,0:45:34,5,14
Running,6/20/2024 12:01,TRUE,Hangzhou Running,10,686,0:44:59,163,176,3.9,170,176,4:30,4:06,30,29,1.31,7.6,10,247,4:30,354,0,349,468,"7,648",No,00:00.9,11,0:44:18,0:45:10,4,14
Running,6/17/2024 20:29,TRUE,Hangzhou Running,10.01,651,0:48:14,141,159,3.2,167,180,4:49,4:01,26,24,1.24,8,9.9,257,4:47,330,0,327,410,"8,082",No,00:02.1,11,0:48:06,0:50:32,0,9
Running,6/16/2024 19:53,TRUE,Hangzhou Running,10.01,672,0:47:35,149,168,3.4,167,178,4:45,3:50,28,34,1.27,8,10.1,257,4:44,339,0,335,442,"7,912",No,00:02.0,11,0:47:32,0:47:35,-1,11
Running,6/11/2024 19:42,TRUE,Hangzhou Running,10.01,670,0:44:20,156,175,3.7,169,178,4:26,3:42,29,30,1.33,7.6,10.1,247,4:25,360,0,355,478,"7,482",No,00:02.2,11,0:44:02,0:45:21,7,16
Running,6/10/2024 17:32,TRUE,Hangzhou Running,10,631,0:46:29,141,154,3.1,168,174,4:39,3:51,27,29,1.29,7.8,10.1,254,4:37,345,0,342,437,"7,804",No,00:00.6,11,0:46:24,0:46:29,2,13
Running,6/9/2024 17:22,TRUE,Hangzhou Running,10.01,670,0:42:33,161,179,4,172,180,4:15,3:37,44,44,1.37,7.3,10,239,4:13,379,0,373,507,"7,304",No,00:02.4,11,0:42:31,0:42:33,3,12
Running,11/3/2024 12:02,TRUE,Running,25.01,"1,651",1:47:48,163,192,5,175,186,4:19,2:57,36,27,1.32,7.2,9.5,236,4:18,363,0,361,513,"18,890",No,00:01.4,26,1:47:40,2:03:26,15,34
Running,11/2/2024 16:25,TRUE,Hangzhou Running,10.01,591,0:38:22,158,179,3.9,175,198,3:50,3:11,15,21,1.46,6.7,9.7,221,3:51,398,0,395,477,"6,776",No,00:02.8,11,0:38:07,0:56:07,7,29
Running,11/1/2024 10:26,TRUE,Hangzhou Running,15.01,"1,032",1:08:11,159,177,4.4,176,184,4:33,3:14,66,50,1.27,7.4,9.4,239,4:26,355,0,352,523,"11,964",No,00:01.8,16,1:08:00,1:20:03,3,27
Running,10/31/2024 9:47,TRUE,Running,10.01,662,0:46:22,147,168,3.4,175,187,4:38,2:47,42,38,1.3,7.3,9.4,237,4:20,362,0,358,542,"8,140",No,00:02.1,11,0:46:10,0:51:08,11,32
